"series_id","state","year","period","label","value","month_net_change","month_percent_change","state_fips","x12_month_net_change","x12_month_percent_change"
"LASST010000000000004","Alabama",2023,"M01","2023 Jan",52681,-6650,-11.2,1,-6650,-11.2
"LASST010000000000004","Alabama",2023,"M02","2023 Feb",52405,-6148,-10.5,1,-6148,-10.5
"LASST010000000000004","Alabama",2023,"M03","2023 Mar",52523,-5699,-9.8,1,-5699,-9.8
"LASST010000000000004","Alabama",2023,"M04","2023 Apr",52990,-5218,-9,1,-5218,-9
"LASST010000000000004","Alabama",2023,"M05","2023 May",53828,-4488,-7.7,1,-4488,-7.7
"LASST010000000000004","Alabama",2023,"M06","2023 Jun",54898,-3546,-6.1,1,-3546,-6.1
"LASST010000000000004","Alabama",2023,"M07","2023 Jul",56256,-2206,-3.8,1,-2206,-3.8
"LASST010000000000004","Alabama",2023,"M08","2023 Aug",57918,-208,-0.4,1,-208,-0.4
"LASST010000000000004","Alabama",2023,"M09","2023 Sep",59879,2641,4.6,1,2641,4.6
"LASST010000000000004","Alabama",2023,"M10","2023 Oct",62066,6043,10.8,1,6043,10.8
"LASST010000000000004","Alabama",2023,"M11","2023 Nov",64285,9627,17.6,1,9627,17.6
"LASST010000000000004","Alabama",2023,"M12","2023 Dec",66085,12644,23.7,1,12644,23.7
"LASST010000000000004","Alabama",2024,"M01","2024 Jan",67070,14389,27.3,1,14389,27.3
"LASST010000000000004","Alabama",2024,"M02","2024 Feb",67418,15013,28.6,1,15013,28.6
"LASST010000000000004","Alabama",2024,"M03","2024 Mar",67611,15088,28.7,1,15088,28.7
"LASST010000000000004","Alabama",2024,"M04","2024 Apr",67918,14928,28.2,1,14928,28.2
"LASST010000000000004","Alabama",2024,"M05","2024 May",68419,14591,27.1,1,14591,27.1
"LASST010000000000004","Alabama",2024,"M06","2024 Jun",69242,14344,26.1,1,14344,26.1
"LASST010000000000004","Alabama",2024,"M07","2024 Jul",70408,14152,25.2,1,14152,25.2
"LASST010000000000004","Alabama",2024,"M08","2024 Aug",71683,13765,23.8,1,13765,23.8
"LASST010000000000004","Alabama",2024,"M09","2024 Sep",72683,12804,21.4,1,12804,21.4
"LASST010000000000004","Alabama",2024,"M10","2024 Oct",73156,11090,17.9,1,11090,17.9
"LASST010000000000004","Alabama",2024,"M11","2024 Nov",73159,8874,13.8,1,8874,13.8
"LASST010000000000004","Alabama",2024,"M12","2024 Dec",72913,6828,10.3,1,6828,10.3
"LASST010000000000004","Alabama",2025,"M01","2025 Jan",72543,5473,8.2,1,5473,8.2
"LASST010000000000004","Alabama",2025,"M02","2025 Feb",71929,4511,6.7,1,4511,6.7
"LASST010000000000004","Alabama",2025,"M03","2025 Mar",70862,3251,4.8,1,3251,4.8
"LASST010000000000004","Alabama",2025,"M04","2025 Apr",69591,1673,2.5,1,1673,2.5
"LASST010000000000004","Alabama",2025,"M05","2025 May",68517,98,0.1,1,98,0.1
"LASST010000000000004","Alabama",2025,"M06","2025 Jun",67728,-1514,-2.2,1,-1514,-2.2
"LASST010000000000004","Alabama",2025,"M07","2025 Jul",66983,-3425,-4.9,1,-3425,-4.9
"LASST010000000000004","Alabama",2025,"M08","2025 Aug",66290,-5393,-7.5,1,-5393,-7.5
"LASST010000000000004","Alabama",2025,"M09","2025 Sep",65692,-6991,-9.6,1,-6991,-9.6
"LASST010000000000004","Alabama",2025,"M10","2025 Oct",NA,NA,NA,1,NA,NA
"LASST010000000000004","Alabama",2025,"M11","2025 Nov",64802,-8357,-11.4,1,-8357,-11.4
"LASST010000000000004","Alabama",2025,"M12","2025 Dec",64776,-8137,-11.2,1,-8137,-11.2
"LASST020000000000004","Alaska",2023,"M01","2023 Jan",14657,-4104,-21.9,2,-4104,-21.9
"LASST020000000000004","Alaska",2023,"M02","2023 Feb",14635,-3048,-17.2,2,-3048,-17.2
"LASST020000000000004","Alaska",2023,"M03","2023 Mar",14607,-2088,-12.5,2,-2088,-12.5
"LASST020000000000004","Alaska",2023,"M04","2023 Apr",14620,-1420,-8.9,2,-1420,-8.9
"LASST020000000000004","Alaska",2023,"M05","2023 May",14736,-711,-4.6,2,-711,-4.6
"LASST020000000000004","Alaska",2023,"M06","2023 Jun",14934,0,0,2,0,0
"LASST020000000000004","Alaska",2023,"M07","2023 Jul",15196,851,5.9,2,851,5.9
"LASST020000000000004","Alaska",2023,"M08","2023 Aug",15475,1734,12.6,2,1734,12.6
"LASST020000000000004","Alaska",2023,"M09","2023 Sep",15719,1584,11.2,2,1584,11.2
"LASST020000000000004","Alaska",2023,"M10","2023 Oct",15905,1485,10.3,2,1485,10.3
"LASST020000000000004","Alaska",2023,"M11","2023 Nov",16037,1445,9.9,2,1445,9.9
"LASST020000000000004","Alaska",2023,"M12","2023 Dec",16097,1446,9.9,2,1446,9.9
"LASST020000000000004","Alaska",2024,"M01","2024 Jan",16081,1424,9.7,2,1424,9.7
"LASST020000000000004","Alaska",2024,"M02","2024 Feb",16055,1420,9.7,2,1420,9.7
"LASST020000000000004","Alaska",2024,"M03","2024 Mar",16087,1480,10.1,2,1480,10.1
"LASST020000000000004","Alaska",2024,"M04","2024 Apr",16161,1541,10.5,2,1541,10.5
"LASST020000000000004","Alaska",2024,"M05","2024 May",16250,1514,10.3,2,1514,10.3
"LASST020000000000004","Alaska",2024,"M06","2024 Jun",16358,1424,9.5,2,1424,9.5
"LASST020000000000004","Alaska",2024,"M07","2024 Jul",16473,1277,8.4,2,1277,8.4
"LASST020000000000004","Alaska",2024,"M08","2024 Aug",16561,1086,7,2,1086,7
"LASST020000000000004","Alaska",2024,"M09","2024 Sep",16599,880,5.6,2,880,5.6
"LASST020000000000004","Alaska",2024,"M10","2024 Oct",16570,665,4.2,2,665,4.2
"LASST020000000000004","Alaska",2024,"M11","2024 Nov",16517,480,3,2,480,3
"LASST020000000000004","Alaska",2024,"M12","2024 Dec",16497,400,2.5,2,400,2.5
"LASST020000000000004","Alaska",2025,"M01","2025 Jan",16527,446,2.8,2,446,2.8
"LASST020000000000004","Alaska",2025,"M02","2025 Feb",16587,532,3.3,2,532,3.3
"LASST020000000000004","Alaska",2025,"M03","2025 Mar",16637,550,3.4,2,550,3.4
"LASST020000000000004","Alaska",2025,"M04","2025 Apr",16693,532,3.3,2,532,3.3
"LASST020000000000004","Alaska",2025,"M05","2025 May",16737,487,3,2,487,3
"LASST020000000000004","Alaska",2025,"M06","2025 Jun",16762,404,2.5,2,404,2.5
"LASST020000000000004","Alaska",2025,"M07","2025 Jul",16843,370,2.2,2,370,2.2
"LASST020000000000004","Alaska",2025,"M08","2025 Aug",17003,442,2.7,2,442,2.7
"LASST020000000000004","Alaska",2025,"M09","2025 Sep",17229,630,3.8,2,630,3.8
"LASST020000000000004","Alaska",2025,"M10","2025 Oct",NA,NA,NA,2,NA,NA
"LASST020000000000004","Alaska",2025,"M11","2025 Nov",17537,1020,6.2,2,1020,6.2
"LASST020000000000004","Alaska",2025,"M12","2025 Dec",17531,1034,6.3,2,1034,6.3
"LASST040000000000004","Arizona",2023,"M01","2023 Jan",133643,4349,3.4,4,4349,3.4
"LASST040000000000004","Arizona",2023,"M02","2023 Feb",133037,3585,2.8,4,3585,2.8
"LASST040000000000004","Arizona",2023,"M03","2023 Mar",133189,2796,2.1,4,2796,2.1
"LASST040000000000004","Arizona",2023,"M04","2023 Apr",133786,2162,1.6,4,2162,1.6
"LASST040000000000004","Arizona",2023,"M05","2023 May",134837,1958,1.5,4,1958,1.5
"LASST040000000000004","Arizona",2023,"M06","2023 Jun",136027,1629,1.2,4,1629,1.2
"LASST040000000000004","Arizona",2023,"M07","2023 Jul",137290,1059,0.8,4,1059,0.8
"LASST040000000000004","Arizona",2023,"M08","2023 Aug",138447,595,0.4,4,595,0.4
"LASST040000000000004","Arizona",2023,"M09","2023 Sep",139105,763,0.6,4,763,0.6
"LASST040000000000004","Arizona",2023,"M10","2023 Oct",138828,948,0.7,4,948,0.7
"LASST040000000000004","Arizona",2023,"M11","2023 Nov",137271,628,0.5,4,628,0.5
