"state","year","population","land_area","pop_density"
"Alabama","2020",5032962,50645,99.3772731760292
"Alabama","2021",5050058,50645,99.7148385822885
"Alabama","2022",5076868,50645,100.244209694935
"Alabama","2023",5117850,50645,101.053410998124
"Alabama","2024",5163055,50645,101.945996643301
"Alabama","2025",5193088,50645,102.539006812124
"Alaska","2020",732906,570641,1.2843556631928
"Alaska","2021",734590,570641,1.28730673050131
"Alaska","2022",733659,570641,1.28567523188835
"Alaska","2023",734654,570641,1.28741888507836
"Alaska","2024",736537,570641,1.29071868302488
"Alaska","2025",737270,570641,1.29200320341511
"Arizona","2020",7186647,113990,63.0462935345206
"Arizona","2021",7274022,113990,63.812808141065
"Arizona","2022",7370065,113990,64.6553645056584
"Arizona","2023",7452073,113990,65.3747960347399
"Arizona","2024",7556424,113990,66.2902359856128
"Arizona","2025",7623818,113990,66.8814632862532
"Arkansas","2020",3014399,52035,57.930220044201
"Arkansas","2021",3027127,52035,58.1748246372634
"Arkansas","2022",3047429,52035,58.5649851061785
"Arkansas","2023",3069856,52035,58.9959834726626
"Arkansas","2024",3096080,52035,59.4999519554146
"Arkansas","2025",3114791,52035,59.859536850197
"California","2020",39527808,155779,253.742853658067
"California","2021",39152927,155779,251.336361126981
"California","2022",39125347,155779,251.159315440464
"California","2023",39181667,155779,251.520853260067
"California","2024",39364774,155779,252.696281270261
"California","2025",39355309,155779,252.635522117872
"Colorado","2020",5786873,103642,55.8352115937554
"Colorado","2021",5814368,103642,56.1004997973794
"Colorado","2022",5853355,103642,56.4766696898941
"Colorado","2023",5912240,103642,57.0448273865807
"Colorado","2024",5988502,103642,57.7806487717335
"Colorado","2025",6012561,103642,58.0127843924278
"Connecticut","2020",3579643,4842,739.290169351508
"Connecticut","2021",3607765,4842,745.098099958695
"Connecticut","2022",3618707,4842,747.357909954564
"Connecticut","2023",3641369,4842,752.038207352334
"Connecticut","2024",3674449,4842,758.870095002065
"Connecticut","2025",3688496,4842,761.771168938455
"Delaware","2020",991890,1949,508.922524371473
"Delaware","2021",1005130,1949,515.715751667522
"Delaware","2022",1020279,1949,523.488455618266
"Delaware","2023",1035354,1949,531.223191380195
"Delaware","2024",1050123,1949,538.800923550539
"Delaware","2025",1059952,1949,543.84402257568
